# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,20,0,0,0,20,0
7,0,0,30,0,0,0,10,0
8,1,20,50,2,1,20,20,2
9,1,20,50,2,0,0,0,0
10,1,20,60,2,0,0,10,0
11,1,20,80,2,0,0,20,0
12,2,40,100,4,1,20,20,2
13,2,40,100,4,0,0,0,0
14,2,40,100,4,0,0,0,0
15,2,40,120,4,0,0,20,0
16,2,40,140,4,0,0,20,0
17,3,60,150,6,1,20,10,2
18,3,60,160,6,0,0,10,0
19,3,60,180,6,0,0,20,0
20,3,60,210,6,0,0,30,0
21,4,80,270,8,1,20,60,2
22,5,100,290,8,1,20,20,0
23,5,100,310,8,0,0,20,0
24,5,100,330,8,0,0,20,0
25,5,100,370,8,0,0,40,0
26,5,100,400,8,0,0,30,0
27,5,100,430,8,0,0,30,0
28,5,100,507,8,0,0,77,0
29,7,140,545,8,2,40,38,0
30,10,200,583,12,3,60,38,4
31,10,200,594,12,0,0,11,0
32,10,200,594,12,0,0,0,0
33,10,200,594,12,0,0,0,0
34,10,200,594,12,0,0,0,0
35,10,200,605,12,0,0,11,0
36,10,200,616,12,0,0,11,0
37,10,200,616,12,0,0,0,0
38,11,224,638,12,1,24,22,0
39,11,224,638,14,0,0,0,2
40,11,224,638,20,0,0,0,6
41,11,224,638,32,0,0,0,12
42,11,224,638,38,0,0,0,6
43,11,224,638,38,0,0,0,0
44,11,224,649,38,0,0,11,0
45,11,224,660,38,0,0,11,0
46,12,248,682,40,1,24,22,2
47,12,248,682,40,0,0,0,0
48,12,248,682,40,0,0,0,0
49,12,248,682,40,0,0,0,0
50,12,248,682,40,0,0,0,0
51,12,248,682,40,0,0,0,0
52,12,248,682,40,0,0,0,0
53,12,248,682,40,0,0,0,0
54,12,248,682,40,0,0,0,0
55,12,248,682,40,0,0,0,0
56,12,248,693,40,0,0,11,0
57,13,268,746,40,1,20,53,0
58,13,268,746,40,0,0,0,0
59,13,268,746,40,0,0,0,0
60,14,288,796,40,1,20,50,0
61,14,288,807,40,0,0,11,0
62,14,288,818,40,0,0,11,0
63,15,308,835,46,1,20,17,6
64,16,328,842,48,1,20,8,2
65,16,328,853,48,0,0,11,0
66,16,328,864,48,0,0,11,0
67,16,328,875,48,0,0,11,0
68,16,328,875,48,0,0,0,0
69,16,328,886,48,0,0,11,0
70,16,328,897,48,0,0,11,0
71,16,328,919,48,0,0,22,0
72,16,328,930,48,0,0,11,0
