# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,30,0,0,0,30,0
6,0,0,30,0,0,0,0,0
7,0,0,30,0,0,0,0,0
8,0,0,60,0,0,0,30,0
9,0,0,60,0,0,0,0,0
10,0,0,90,0,0,0,30,0
11,0,0,120,0,0,0,30,0
12,0,0,120,0,0,0,0,0
13,0,0,150,0,0,0,30,0
14,0,0,180,0,0,0,30,0
15,0,0,180,0,0,0,0,0
16,1,20,200,0,1,20,20,0
17,1,20,230,0,0,0,30,0
18,1,20,230,0,0,0,0,0
19,2,40,280,0,1,20,50,0
20,2,40,310,0,0,0,30,0
21,2,40,310,0,0,0,0,0
22,2,40,340,0,0,0,30,0
23,2,40,370,0,0,0,30,0
24,2,40,370,0,0,0,0,0
25,2,40,400,0,0,0,30,0
26,2,40,430,0,0,0,30,0
27,2,40,430,0,0,0,0,0
28,2,40,460,0,0,0,30,0
29,3,60,480,0,1,20,20,0
30,3,60,480,0,0,0,0,0
31,3,60,510,0,0,0,30,0
32,3,60,540,0,0,0,30,0
33,3,60,540,0,0,0,0,0
34,3,60,570,0,0,0,30,0
35,3,60,570,0,0,0,0,0
36,3,60,600,0,0,0,30,0
37,3,60,630,0,0,0,30,0
38,3,60,630,0,0,0,0,0
39,3,60,660,0,0,0,30,0
40,3,60,690,0,0,0,30,0
41,3,60,705,2,0,0,15,2
42,4,80,725,2,1,20,20,0
43,4,80,745,2,0,0,20,0
44,4,80,770,2,0,0,25,0
45,4,80,790,2,0,0,20,0
46,4,80,805,2,0,0,15,0
47,4,80,840,2,0,0,35,0
48,5,100,865,2,1,20,25,0
49,5,100,880,2,0,0,15,0
50,5,100,900,2,0,0,20,0
51,5,100,935,2,0,0,35,0
52,5,100,955,2,0,0,20,0
53,5,100,990,2,0,0,35,0
54,5,100,1010,2,0,0,20,0
55,5,100,1035,2,0,0,25,0
56,5,100,1055,2,0,0,20,0
57,5,100,1090,2,0,0,35,0
58,5,100,1110,2,0,0,20,0
59,5,100,1135,2,0,0,25,0
60,5,100,1165,2,0,0,30,0
61,5,100,1185,2,0,0,20,0
62,5,100,1215,2,0,0,30,0
63,5,100,1240,2,0,0,25,0
64,5,100,1265,2,0,0,25,0
65,5,100,1290,2,0,0,25,0
66,5,100,1315,2,0,0,25,0
67,5,100,1335,2,0,0,20,0
68,5,100,1345,2,0,0,10,0
69,5,100,1380,2,0,0,35,0
70,5,100,1405,2,0,0,25,0
71,5,100,1430,2,0,0,25,0
