# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,1,24,35,0,1,24,35,0
6,1,24,35,0,0,0,0,0
7,1,24,35,2,0,0,0,2
8,1,24,35,2,0,0,0,0
9,1,24,75,2,0,0,40,0
10,1,24,83,2,0,0,8,0
11,1,24,83,2,0,0,0,0
12,2,44,101,2,1,20,18,0
13,3,64,135,2,1,20,34,0
14,3,64,135,2,0,0,0,0
15,3,64,143,2,0,0,8,0
16,3,64,207,2,0,0,64,0
17,4,84,209,2,1,20,2,0
18,4,84,209,2,0,0,0,0
19,4,84,209,2,0,0,0,0
20,4,84,209,2,0,0,0,0
21,4,84,209,2,0,0,0,0
22,4,84,209,2,0,0,0,0
23,4,84,209,2,0,0,0,0
24,4,84,209,2,0,0,0,0
25,4,84,209,2,0,0,0,0
26,4,84,209,2,0,0,0,0
27,4,84,209,2,0,0,0,0
28,4,84,209,2,0,0,0,0
29,4,84,209,2,0,0,0,0
30,4,84,209,2,0,0,0,0
31,4,84,209,2,0,0,0,0
32,4,84,209,2,0,0,0,0
33,4,84,209,2,0,0,0,0
34,4,84,209,2,0,0,0,0
35,4,84,209,2,0,0,0,0
36,4,84,209,2,0,0,0,0
37,4,84,209,2,0,0,0,0
38,4,84,209,2,0,0,0,0
39,4,84,209,2,0,0,0,0
40,4,84,209,2,0,0,0,0
41,4,84,409,2,0,0,200,0
42,5,104,491,2,1,20,82,0
43,12,244,697,2,7,140,206,0
44,12,244,705,2,0,0,8,0
45,12,244,721,2,0,0,16,0
46,12,244,721,2,0,0,0,0
47,12,244,741,2,0,0,20,0
48,12,244,791,2,0,0,50,0
49,14,284,854,2,2,40,63,0
50,16,328,944,2,2,44,90,0
51,19,392,1024,2,3,64,80,0
52,21,400,1044,2,2,8,20,0
53,21,400,1044,2,0,0,0,0
54,21,400,1044,2,0,0,0,0
55,21,400,1044,2,0,0,0,0
56,21,400,1044,2,0,0,0,0
57,21,400,1104,2,0,0,60,0
58,21,400,1104,2,0,0,0,0
59,21,400,1104,2,0,0,0,0
