# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,40,0,0,0,40,0
41,0,0,40,0,0,0,0,0
42,0,0,40,0,0,0,0,0
43,0,0,120,0,0,0,80,0
44,0,0,190,0,0,0,70,0
45,0,0,210,0,0,0,20,0
46,0,0,210,0,0,0,0,0
47,0,0,230,0,0,0,20,0
48,0,0,230,0,0,0,0,0
49,0,0,230,0,0,0,0,0
50,0,0,230,0,0,0,0,0
51,0,0,230,0,0,0,0,0
52,0,0,230,0,0,0,0,0
53,0,0,230,0,0,0,0,0
54,0,0,260,0,0,0,30,0
55,0,0,260,0,0,0,0,0
56,0,0,280,0,0,0,20,0
57,0,0,320,0,0,0,40,0
58,2,40,430,0,2,40,110,0
59,3,60,480,0,1,20,50,0
60,4,80,510,0,1,20,30,0
61,6,120,540,0,2,40,30,0
62,6,120,540,0,0,0,0,0
63,8,160,590,0,2,40,50,0
64,9,180,630,0,1,20,40,0
65,10,200,640,0,1,20,10,0
66,12,240,680,0,2,40,40,0
67,14,240,700,0,2,0,20,0
68,14,240,700,0,0,0,0,0
69,14,240,700,0,0,0,0,0
70,14,240,700,0,0,0,0,0
71,14,240,700,0,0,0,0,0
72,14,240,711,0,0,0,11,0
