# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量; boss_guard=该秒末Boss格挡条当前值; boss_dmg_*=对Boss输出,由格挡条下降量反推)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta,boss_guard,boss_dmg_cum,boss_dmg_delta
0,0,0,0,0,0,0,0,0,2000000,0,0
1,0,0,0,0,0,0,0,0,2000000,0,0
2,0,0,0,0,0,0,0,0,2000000,0,0
3,0,0,0,0,0,0,0,0,2000000,0,0
4,0,0,0,0,0,0,0,0,2000000,0,0
5,0,0,0,0,0,0,0,0,2000000,0,0
6,0,0,0,3,0,0,0,3,2000000,0,0
7,0,0,0,6,0,0,0,3,2000000,0,0
8,0,0,0,6,0,0,0,0,2000000,0,0
9,0,0,0,6,0,0,0,0,2000000,0,0
10,0,0,0,6,0,0,0,0,2000000,0,0
11,0,0,8,6,0,0,8,0,2000000,0,0
12,0,0,44,6,0,0,36,0,2000000,0,0
13,1,20,54,6,1,20,10,0,2000000,0,0
14,1,20,54,6,0,0,0,0,1999996,4,4
15,1,20,70,6,0,0,16,0,1999988,12,8
16,1,20,102,6,0,0,32,0,1999988,12,0
17,1,20,110,6,0,0,8,0,1999988,12,0
18,1,20,110,6,0,0,0,0,1999988,12,0
19,1,20,110,6,0,0,0,0,1999988,12,0
20,1,20,114,6,0,0,4,0,1999984,16,4
21,1,20,134,6,0,0,20,0,1999984,16,0
22,1,20,186,17,0,0,52,11,1999980,20,4
23,1,20,214,17,0,0,28,0,1999976,24,4
24,1,20,246,17,0,0,32,0,1999968,32,8
25,1,20,310,17,0,0,64,0,1999968,32,0
26,1,20,454,17,0,0,144,0,1999956,44,12
27,2,44,505,17,1,24,51,0,1999952,48,4
28,2,44,601,17,0,0,96,0,1999948,52,4
29,2,44,713,17,0,0,112,0,1999944,56,4
30,3,64,963,17,1,20,250,0,1999944,56,0
31,3,64,1127,17,0,0,164,0,1999944,56,0
32,4,84,1377,17,1,20,250,0,1999936,64,8
33,5,108,1600,17,1,24,223,0,1999936,64,0
34,5,108,1764,17,0,0,164,0,1999932,68,4
35,7,148,2028,17,2,40,264,0,1999932,68,0
36,10,216,2364,17,3,68,336,0,1999932,68,0
37,14,304,2654,17,4,88,290,0,1999932,68,0
38,17,364,2992,21,3,60,338,4,1999932,68,0
39,23,400,3376,27,6,36,384,6,1999932,68,0
40,30,400,3711,27,7,0,335,0,1999932,68,0
41,40,400,4032,33,10,0,321,6,1999932,68,0
42,51,400,4299,39,11,0,267,6,1999932,68,0
43,54,400,4541,39,3,0,242,0,1999932,68,0
44,59,400,4759,45,5,0,218,6,1999932,68,0
45,60,400,5097,49,1,0,338,4,1999932,68,0
46,66,400,5446,55,6,0,349,6,1999932,68,0
47,74,400,5791,57,8,0,345,2,1999932,68,0
48,85,400,6093,57,11,0,302,0,1999932,68,0
49,92,400,6361,57,7,0,268,0,1999932,68,0
50,96,400,6697,57,4,0,336,0,1999932,68,0
51,99,400,7003,57,3,0,306,0,1999932,68,0
52,104,400,7341,57,5,0,338,0,1999932,68,0
53,106,400,7673,57,2,0,332,0,1999928,72,4
54,114,400,7998,57,8,0,325,0,1999928,72,0
55,119,400,8336,57,5,0,338,0,1999928,72,0
56,126,400,8644,57,7,0,308,0,1999928,72,0
57,130,400,8904,57,4,0,260,0,1999928,72,0
58,132,400,9161,57,2,0,257,0,1999928,72,0
59,137,400,9440,57,5,0,279,0,1999928,72,0
60,144,400,9754,57,7,0,314,0,1999928,72,0
61,156,400,10031,65,12,0,277,8,1999928,72,0
62,164,400,10201,85,8,0,170,20,1999928,72,0
63,169,400,10283,133,5,0,82,48,1999928,72,0
64,176,400,10598,133,7,0,315,0,1999928,72,0
65,184,400,10942,145,8,0,344,12,1999928,72,0
66,192,400,11279,145,8,0,337,0,1999928,72,0
67,196,400,11543,145,4,0,264,0,1999928,72,0
68,200,400,11851,147,4,0,308,2,1999928,72,0
69,202,400,12199,147,2,0,348,0,1999928,72,0
70,213,400,12509,147,11,0,310,0,1999928,72,0
71,219,400,12765,147,6,0,256,0,1999920,80,8
72,222,400,12871,147,3,0,106,0,1999900,100,20
73,223,400,13202,147,1,0,331,0,1999884,116,16
74,226,400,13466,149,3,0,264,2,1999884,116,0
75,235,400,13802,149,9,0,336,0,1999884,116,0
76,248,400,14124,149,13,0,322,0,1999884,116,0
77,255,400,14418,149,7,0,294,0,1999884,116,0
78,267,400,14696,149,12,0,278,0,1999884,116,0
79,274,400,15018,149,7,0,322,0,1999884,116,0
80,276,400,15374,149,2,0,356,0,1999884,116,0
81,281,400,15726,149,5,0,352,0,1999884,116,0
82,290,400,15981,149,9,0,255,0,1999884,116,0
83,292,400,16357,149,2,0,376,0,1999884,116,0
84,295,400,16711,149,3,0,354,0,1999884,116,0
85,304,400,17053,149,9,0,342,0,1999884,116,0
86,316,400,17390,149,12,0,337,0,1999884,116,0
87,323,400,17736,151,7,0,346,2,1999884,116,0
88,333,400,18041,159,10,0,305,8,1999884,116,0
89,338,400,18323,187,5,0,282,28,1999884,116,0
90,340,400,18527,187,2,0,204,0,1999884,116,0
91,343,400,18867,187,3,0,340,0,1999884,116,0
92,346,400,19177,187,3,0,310,0,1999884,116,0
93,351,400,19529,187,5,0,352,0,1999884,116,0
94,360,400,19863,187,9,0,334,0,1999884,116,0
95,364,400,20167,187,4,0,304,0,1999876,124,8
96,373,400,20371,187,9,0,204,0,1999876,124,0
97,375,400,20536,187,2,0,165,0,1999876,124,0
98,385,400,20787,193,10,0,251,6,1999876,124,0
99,387,400,21115,193,2,0,328,0,1999876,124,0
100,393,400,21459,193,6,0,344,0,1999876,124,0
101,396,400,21774,225,3,0,315,32,1999876,124,0
102,399,400,22109,249,3,0,335,24,1999876,124,0
103,399,400,22293,257,0,0,184,8,1999876,124,0
104,400,400,22495,259,1,0,202,2,1999876,124,0
105,404,400,22796,259,4,0,301,0,1999876,124,0
106,412,400,23079,259,8,0,283,0,1999876,124,0
107,420,400,23423,259,8,0,344,0,1999876,124,0
108,429,400,23755,259,9,0,332,0,1999876,124,0
109,440,400,24035,259,11,0,280,0,1999876,124,0
110,448,400,24288,261,8,0,253,2,1999876,124,0
111,455,400,24550,275,7,0,262,14,1999876,124,0
112,459,400,24874,283,4,0,324,8,1999876,124,0
113,466,400,25108,283,7,0,234,0,1999876,124,0
114,468,400,25264,285,2,0,156,2,1999876,124,0
115,472,400,25488,285,4,0,224,0,1999876,124,0
116,478,400,25744,285,6,0,256,0,1999876,124,0
117,482,400,26014,285,4,0,270,0,1999872,128,4
118,489,400,26340,285,7,0,326,0,1999872,128,0
119,495,400,26626,285,6,0,286,0,1999864,136,8
120,497,400,26943,285,2,0,317,0,1999860,140,4
121,503,400,27171,285,6,0,228,0,1999860,140,0
122,508,400,27381,307,5,0,210,22,1999860,140,0
123,517,400,27651,339,9,0,270,32,1999860,140,0
124,522,400,27997,339,5,0,346,0,1999860,140,0
125,530,400,28339,339,8,0,342,0,1999860,140,0
126,541,400,28679,339,11,0,340,0,1999860,140,0
127,549,400,28992,339,8,0,313,0,1999860,140,0
128,551,400,29184,339,2,0,192,0,1999860,140,0
129,556,400,29395,347,5,0,211,8,1999860,140,0
130,557,400,29629,347,1,0,234,0,1999860,140,0
131,562,400,29779,347,5,0,150,0,1999860,140,0
132,568,400,29983,347,6,0,204,0,1999860,140,0
133,571,400,30201,347,3,0,218,0,1999860,140,0
134,576,400,30488,349,5,0,287,2,1999860,140,0
135,584,400,30835,349,8,0,347,0,1999860,140,0
136,590,400,31183,349,6,0,348,0,1999860,140,0
137,602,400,31473,349,12,0,290,0,1999860,140,0
138,611,400,31660,349,9,0,187,0,1999860,140,0
139,614,400,31967,349,3,0,307,0,1999860,140,0
140,617,400,32301,349,3,0,334,0,1999860,140,0
141,619,400,32553,389,2,0,252,40,1999860,140,0
142,630,400,32891,405,11,0,338,16,1999860,140,0
143,633,400,33245,407,3,0,354,2,1999860,140,0
144,643,400,33565,407,10,0,320,0,1999860,140,0
145,650,400,33855,407,7,0,290,0,1999860,140,0
146,657,400,34197,411,7,0,342,4,1999860,140,0
147,666,400,34499,411,9,0,302,0,1999860,140,0
148,674,400,34742,411,8,0,243,0,1999860,140,0
149,676,400,34815,411,2,0,73,0,1999860,140,0
150,679,400,35066,425,3,0,251,14,1999860,140,0
151,682,400,35288,437,3,0,222,12,1999860,140,0
152,689,400,35535,493,7,0,247,56,1999860,140,0
153,692,400,35769,565,3,0,234,72,1999860,140,0
154,695,400,35908,621,3,0,139,56,1999860,140,0
155,698,400,36234,635,3,0,326,14,1999860,140,0
156,704,400,36451,635,6,0,217,0,1999860,140,0
157,709,400,36802,635,5,0,351,0,1999860,140,0
158,721,400,37130,635,12,0,328,0,1999860,140,0
159,730,400,37440,635,9,0,310,0,1999860,140,0
160,736,400,37788,635,6,0,348,0,1999860,140,0
161,752,400,38108,635,16,0,320,0,1999860,140,0
162,759,400,38303,635,7,0,195,0,1999860,140,0
163,759,400,38451,639,0,0,148,4,1999860,140,0
164,761,400,38627,639,2,0,176,0,1999860,140,0
165,761,400,38835,639,0,0,208,0,1999860,140,0
166,762,400,39033,639,1,0,198,0,1999860,140,0
167,764,400,39353,639,2,0,320,0,1999860,140,0
168,767,400,39707,659,3,0,354,20,1999860,140,0
169,776,400,40009,715,9,0,302,56,1999860,140,0
170,784,400,40365,761,8,0,356,46,1999860,140,0
171,789,400,40671,835,5,0,306,74,1999860,140,0
172,792,400,41025,891,3,0,354,56,1999860,140,0
173,802,400,41357,919,10,0,332,28,1999860,140,0
174,810,400,41689,927,8,0,332,8,1999860,140,0
175,812,400,42045,927,2,0,356,0,1999860,140,0
176,817,400,42358,927,5,0,313,0,1999860,140,0
177,822,400,42632,929,5,0,274,2,1999860,140,0
178,827,400,42898,931,5,0,266,2,1999860,140,0
179,833,400,43110,931,6,0,212,0,1999860,140,0
180,842,400,43345,933,9,0,235,2,1999860,140,0
181,844,400,43637,982,2,0,292,49,1999860,140,0
182,854,400,43973,1036,10,0,336,54,1999860,140,0
183,861,400,44119,1040,7,0,146,4,1999860,140,0
184,862,400,44245,1040,1,0,126,0,1999860,140,0
185,867,400,44597,1040,5,0,352,0,1999860,140,0
186,872,400,44908,1042,5,0,311,2,1999860,140,0
187,875,400,45263,1058,3,0,355,16,1999860,140,0
188,878,400,45601,1076,3,0,338,18,1999860,140,0
189,883,400,45935,1078,5,0,334,2,1999860,140,0
190,888,400,46197,1078,5,0,262,0,1999860,140,0
191,892,400,46470,1078,4,0,273,0,1999860,140,0
192,898,400,46758,1078,6,0,288,0,1999860,140,0
193,902,400,47094,1088,4,0,336,10,1999860,140,0
194,912,400,47435,1106,10,0,341,18,1999860,140,0
195,921,400,47731,1106,9,0,296,0,1999860,140,0
196,931,400,48011,1114,10,0,280,8,1999860,140,0
197,934,400,48185,1114,3,0,174,0,1999860,140,0
198,934,400,48213,1114,0,0,28,0,1999860,140,0

# 每分钟汇总 (minute=第几分钟; *_in_min=该分钟增量; boss_dmg_in_min=该分钟对Boss输出/格挡条下降量)
minute,kills_in_min,scarlet_in_min,damage_in_min,coin_in_min,boss_dmg_in_min,kills_cum,scarlet_cum,damage_cum,coin_cum,boss_dmg_cum
0,137,400,9440,57,72,137,400,9440,57,72
1,358,0,17186,228,64,495,400,26626,285,136
2,338,0,16484,646,4,833,400,43110,931,140
3,101,0,5103,183,0,934,400,48213,1114,140

# 血契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,pact_id,pact_name,stacks_after

# 各血契生效段效率 (segment: 0=开局, 1=首血契生效后, 2=第2次血契生效后 …; 末段到导出时刻)
segment,pact_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,198,198,934,400,48185,283.0,121,14602

# 副契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,affix_id,affix_name,stacks_after

# 各副契生效段效率 (segment: 0=开局, 1=首副契生效后, 2=第2次副契生效后 …; 末段到导出时刻)
segment,affix_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,198,198,934,400,48185,283.0,121,14602

