# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,10,0,0,0,10,0
5,0,0,10,0,0,0,0,0
6,0,0,30,0,0,0,20,0
7,0,0,40,0,0,0,10,0
8,0,0,40,0,0,0,0,0
9,0,0,40,0,0,0,0,0
10,0,0,40,0,0,0,0,0
11,0,0,40,0,0,0,0,0
12,0,0,40,0,0,0,0,0
13,0,0,60,0,0,0,20,0
14,0,0,80,0,0,0,20,0
15,0,0,140,0,0,0,60,0
16,1,20,190,0,1,20,50,0
17,2,40,260,0,1,20,70,0
18,2,40,400,0,0,0,140,0
19,3,60,610,0,1,20,210,0
20,6,120,820,4,3,60,210,4
21,7,140,990,4,1,20,170,0
22,9,180,1330,4,2,40,340,0
23,21,400,1725,12,12,220,395,8
24,24,400,2125,12,3,0,400,0
25,27,400,2440,12,3,0,315,0
26,29,400,2800,12,2,0,360,0
27,33,400,3220,12,4,0,420,0
28,36,400,3490,12,3,0,270,0
29,36,400,3680,12,0,0,190,0
30,37,400,3870,12,1,0,190,0
31,41,400,4190,14,4,0,320,2
32,41,400,4460,14,0,0,270,0
33,47,400,4855,14,6,0,395,0
34,48,400,5135,14,1,0,280,0
35,49,400,5355,16,1,0,220,2
36,57,400,5615,20,8,0,260,4
37,62,400,5815,20,5,0,200,0
38,67,400,6085,20,5,0,270,0
39,70,400,6315,20,3,0,230,0
40,82,400,7075,32,12,0,760,12
41,107,400,8000,34,25,0,925,2
42,122,400,8600,40,15,0,600,6
43,145,400,9280,44,23,0,680,4
44,154,400,9630,50,9,0,350,6
45,187,400,10470,80,33,0,840,30
46,202,400,10970,100,15,0,500,20
47,217,400,11310,102,15,0,340,2
48,223,400,11590,128,6,0,280,26
49,231,400,11960,246,8,0,370,118
50,240,400,12280,298,9,0,320,52
51,244,400,12605,380,4,0,325,82
52,249,400,12970,390,5,0,365,10
53,259,400,13375,392,10,0,405,2
54,260,400,13595,394,1,0,220,2

# 每分钟汇总 (minute=第几分钟; *_in_min=该分钟增量)
minute,kills_in_min,scarlet_in_min,damage_in_min,coin_in_min,kills_cum,scarlet_cum,damage_cum,coin_cum
0,260,400,13595,394,260,400,13595,394

# 血契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,pact_id,pact_name,stacks_after

# 各血契生效段效率 (segment: 0=开局, 1=首血契生效后, 2=第2次血契生效后 …; 末段到导出时刻)
segment,pact_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,54,54,259,400,13375,287.8,444,14861

# 副契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,affix_id,affix_name,stacks_after

# 各副契生效段效率 (segment: 0=开局, 1=首副契生效后, 2=第2次副契生效后 …; 末段到导出时刻)
segment,affix_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,54,54,259,400,13375,287.8,444,14861

# 每阶段Boss战时间 (stage=第几场Boss战 1/2/3; start_sec/end_sec=游戏内起止秒; duration_sec=用时秒; result: defeated=阶段清空进入下一场 / final=最终击败通关 / aborted=异常中断 / ongoing=导出时仍在进行)
stage,start_sec,end_sec,duration_sec,result

# 武器切换记录 (switch=第几次; t_sec=游戏开始后秒; weapon_id=武器id; weapon_name=武器名)
switch,t_sec,weapon_id,weapon_name

# 刷怪倍率调整记录 (adj=第几次; t_sec=游戏开始后秒; multiplier=调整后倍率, 1=默认)
adj,t_sec,multiplier
1,9,1.4
2,9,1.8
3,9,3.3
4,9,4.8
5,9,5.6
6,9,7.5
7,9,9.8
8,9,12.0
9,9,14.7
10,9,17.4
11,9,17.8
12,9,18.1
13,9,18.5
14,9,20.0
