# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,20,0,0,0,20,0
7,0,0,30,0,0,0,10,0
8,0,0,30,0,0,0,0,0
9,0,0,30,0,0,0,0,0
10,0,0,40,0,0,0,10,0
11,0,0,40,0,0,0,0,0
12,0,0,40,0,0,0,0,0
13,0,0,40,0,0,0,0,0
14,0,0,40,0,0,0,0,0
15,0,0,50,0,0,0,10,0
16,0,0,60,0,0,0,10,0
17,0,0,60,0,0,0,0,0
18,0,0,60,0,0,0,0,0
19,0,0,80,0,0,0,20,0
20,0,0,110,0,0,0,30,0
21,1,20,130,0,1,20,20,0
22,1,20,130,0,0,0,0,0
23,1,20,140,0,0,0,10,0
24,3,60,180,2,2,40,40,2
25,3,60,180,2,0,0,0,0
26,3,60,220,2,0,0,40,0
27,3,60,250,2,0,0,30,0
28,3,60,290,2,0,0,40,0
29,3,60,300,2,0,0,10,0
30,3,60,320,2,0,0,20,0
31,3,60,330,2,0,0,10,0
32,3,60,330,2,0,0,0,0
33,4,84,335,4,1,24,5,2
34,4,84,355,4,0,0,20,0
35,4,84,455,4,0,0,100,0
36,4,84,465,4,0,0,10,0
37,4,84,465,4,0,0,0,0
38,4,84,465,4,0,0,0,0
39,10,204,605,6,6,120,140,2
40,10,204,615,6,0,0,10,0
41,11,224,655,6,1,20,40,0
42,12,244,705,6,1,20,50,0
43,12,244,705,6,0,0,0,0
44,15,304,775,12,3,60,70,6
45,15,304,775,12,0,0,0,0
46,15,304,786,12,0,0,11,0
47,16,324,795,28,1,20,9,16
48,16,324,795,28,0,0,0,0
49,16,324,806,28,0,0,11,0
50,16,324,817,28,0,0,11,0
51,16,324,828,28,0,0,11,0
52,16,324,828,28,0,0,0,0
53,16,324,828,28,0,0,0,0
54,16,324,828,28,0,0,0,0
55,16,324,828,28,0,0,0,0
56,16,324,861,28,0,0,33,0
57,16,324,894,28,0,0,33,0
58,18,364,941,30,2,40,47,2
59,18,364,941,30,0,0,0,0
60,18,364,941,30,0,0,0,0
61,18,364,952,30,0,0,11,0
62,18,364,952,30,0,0,0,0
63,18,364,952,30,0,0,0,0
64,18,364,952,30,0,0,0,0
65,18,364,952,30,0,0,0,0
66,18,364,952,30,0,0,0,0
67,18,364,952,30,0,0,0,0
68,18,364,952,30,0,0,0,0
69,18,364,974,30,0,0,22,0
70,18,364,1018,30,0,0,44,0
71,18,364,1062,30,0,0,44,0
