# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,9,0,0,0,9,0
5,0,0,9,0,0,0,0,0
6,0,0,21,0,0,0,12,0
7,0,0,21,0,0,0,0,0
8,0,0,21,0,0,0,0,0
9,0,0,21,0,0,0,0,0
10,0,0,39,0,0,0,18,0
11,0,0,39,0,0,0,0,0
12,0,0,51,0,0,0,12,0
13,0,0,84,0,0,0,33,0
14,0,0,123,0,0,0,39,0
15,0,0,123,0,0,0,0,0
16,0,0,207,0,0,0,84,0
17,0,0,300,0,0,0,93,0
18,0,0,375,0,0,0,75,0
19,0,0,435,0,0,0,60,0
20,0,0,498,0,0,0,63,0
21,0,0,612,0,0,0,114,0
22,0,0,756,0,0,0,144,0
23,3,60,948,0,3,60,192,0
24,3,60,948,0,0,0,0,0
25,4,80,1070,0,1,20,122,0
26,5,100,1429,0,1,20,359,0
27,8,164,1756,0,3,64,327,0
28,13,264,2042,0,5,100,286,0
29,13,264,2141,0,0,0,99,0
30,13,264,2237,0,0,0,96,0
31,14,288,2494,0,1,24,257,0
32,21,400,2982,0,7,112,488,0
33,24,400,3210,0,3,0,228,0
34,24,400,3210,0,0,0,0,0
35,28,400,3533,0,4,0,323,0
36,35,400,3976,0,7,0,443,0
37,46,400,4394,0,11,0,418,0
38,56,400,4780,0,10,0,386,0
39,56,400,4780,0,0,0,0,0
40,58,400,5132,0,2,0,352,0
41,62,400,5449,4,4,0,317,4
42,66,400,5643,10,4,0,194,6
43,71,400,5875,20,5,0,232,10
44,78,400,6246,24,7,0,371,4
45,78,400,6312,28,0,0,66,4
46,82,400,6548,28,4,0,236,0
47,89,400,6931,28,7,0,383,0
48,95,400,7180,28,6,0,249,0
49,95,400,7231,28,0,0,51,0
50,105,400,7509,28,10,0,278,0
51,116,400,7846,28,11,0,337,0
52,116,400,7882,28,0,0,36,0
53,117,400,8052,28,1,0,170,0
54,120,400,8142,28,3,0,90,0
55,123,400,8292,28,3,0,150,0
56,123,400,8292,28,0,0,0,0
57,130,400,8528,28,7,0,236,0
58,130,400,8528,28,0,0,0,0
59,132,400,8652,28,2,0,124,0
60,135,400,8856,28,3,0,204,0
61,142,400,9245,28,7,0,389,0
62,151,400,9512,28,9,0,267,0
63,152,400,9925,28,1,0,413,0
64,152,400,9925,28,0,0,0,0
65,161,400,10264,28,9,0,339,0
66,170,400,10528,28,9,0,264,0
67,176,400,10657,28,6,0,129,0
68,178,400,10943,36,2,0,286,8
69,183,400,11142,54,5,0,199,18
