# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,30,0,0,0,30,0
8,1,20,50,0,1,20,20,0
9,1,20,50,0,0,0,0,0
10,1,20,80,2,0,0,30,2
11,1,20,110,2,0,0,30,0
12,1,20,110,2,0,0,0,0
13,2,40,160,2,1,20,50,0
14,2,40,160,2,0,0,0,0
15,2,40,190,2,0,0,30,0
16,3,60,210,2,1,20,20,0
17,3,60,210,2,0,0,0,0
18,3,60,240,2,0,0,30,0
19,3,60,270,2,0,0,30,0
20,3,60,270,2,0,0,0,0
21,4,80,290,2,1,20,20,0
22,4,80,350,2,0,0,60,0
23,4,80,350,2,0,0,0,0
24,6,120,420,2,2,40,70,0
25,7,144,455,2,1,24,35,0
26,7,144,455,4,0,0,0,2
27,7,144,485,4,0,0,30,0
28,8,164,565,4,1,20,80,0
29,8,164,565,4,0,0,0,0
30,9,184,585,4,1,20,20,0
31,9,184,615,4,0,0,30,0
32,12,248,660,4,3,64,45,0
33,13,268,680,4,1,20,20,0
34,13,268,680,4,0,0,0,0
35,14,288,730,4,1,20,50,0
36,15,308,750,4,1,20,20,0
37,15,308,750,4,0,0,0,0
38,15,308,780,4,0,0,30,0
39,15,308,780,4,0,0,0,0
40,15,308,810,8,0,0,30,4
41,15,308,810,8,0,0,0,0
42,16,332,815,8,1,24,5,0
43,16,332,875,8,0,0,60,0
44,16,332,875,8,0,0,0,0
45,16,332,905,8,0,0,30,0
46,16,332,965,8,0,0,60,0
47,16,332,965,8,0,0,0,0
48,18,372,1005,8,2,40,40,0
49,19,396,1070,8,1,24,65,0
50,19,396,1070,8,0,0,0,0
51,20,400,1135,8,1,4,65,0
52,22,400,1205,8,2,0,70,0
53,23,400,1240,8,1,0,35,0
54,24,400,1275,8,1,0,35,0
55,25,400,1280,8,1,0,5,0
56,25,400,1280,8,0,0,0,0
57,27,400,1350,8,2,0,70,0
58,27,400,1380,8,0,0,30,0
59,30,400,1440,8,3,0,60,0
60,30,400,1440,8,0,0,0,0
61,30,400,1440,8,0,0,0,0
62,31,400,1535,8,1,0,95,0
63,33,400,1590,8,2,0,55,0
64,35,400,1600,8,2,0,10,0
65,36,400,1650,8,1,0,50,0
66,36,400,1680,8,0,0,30,0
67,36,400,1680,8,0,0,0,0
68,36,400,1680,8,0,0,0,0
69,36,400,1680,8,0,0,0,0
70,36,400,1740,8,0,0,60,0
