# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量; boss_guard=该秒末Boss格挡条当前值; boss_dmg_*=对Boss输出,由格挡条下降量反推)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta,boss_guard,boss_dmg_cum,boss_dmg_delta
0,0,0,0,0,0,0,0,0,2000000,0,0
1,0,0,0,0,0,0,0,0,2000000,0,0
2,0,0,20,0,0,0,20,0,1999990,10,10
3,0,0,50,3,0,0,30,3,1999980,20,10
4,0,0,110,3,0,0,60,0,1999960,40,20
5,0,0,230,3,0,0,120,0,1999930,70,30
6,0,0,290,3,0,0,60,0,1999900,100,30
7,0,0,320,3,0,0,30,0,1999880,120,20
8,0,0,360,3,0,0,40,0,1999860,140,20
9,0,0,400,3,0,0,40,0,1999840,160,20
10,1,20,450,3,1,20,50,0,1999800,200,40
11,1,20,490,3,0,0,40,0,1999770,230,30
12,1,20,580,3,0,0,90,0,1999730,270,40
13,2,40,650,5,1,20,70,2,1999690,310,40
14,3,60,730,5,1,20,80,0,1999670,330,20
15,4,80,780,7,1,20,50,2,1999640,360,30
16,4,80,860,14,0,0,80,7,1999600,400,40
17,5,100,920,14,1,20,60,0,1999580,420,20
18,7,140,1000,14,2,40,80,0,1999560,440,20
19,7,140,1070,14,0,0,70,0,1999520,480,40
20,7,140,1140,14,0,0,70,0,1999490,510,30
21,9,180,1210,14,2,40,70,0,1999470,530,20
22,9,180,1280,16,0,0,70,2,1999430,570,40
23,10,200,1310,22,1,20,30,6,1999410,590,20
24,10,200,1370,27,0,0,60,5,1999380,620,30
25,11,220,1460,27,1,20,90,0,1999360,640,20
26,11,220,1520,27,0,0,60,0,1999340,660,20
27,12,240,1630,27,1,20,110,0,1999310,690,30
28,14,280,1780,27,2,40,150,0,1999280,720,30
29,15,300,1880,27,1,20,100,0,1999250,750,30
30,16,320,1960,29,1,20,80,2,1999230,770,20
31,16,320,1980,29,0,0,20,0,1999210,790,20
32,16,320,2010,31,0,0,30,2,1999190,810,20
33,16,320,2050,31,0,0,40,0,1999150,850,40
34,16,320,2080,35,0,0,30,4,1999130,870,20
35,16,320,2120,35,0,0,40,0,1999110,890,20
36,17,340,2160,35,1,20,40,0,1999090,910,20
37,17,340,2220,35,0,0,60,0,1999060,940,30
38,17,340,2260,35,0,0,40,0,1999030,970,30
39,18,360,2310,37,1,20,50,2,1999000,1000,30
40,18,360,2340,37,0,0,30,0,1998970,1030,30
41,18,360,2410,37,0,0,70,0,1998940,1060,30
42,18,360,2490,37,0,0,80,0,1998920,1080,20
43,21,400,2590,39,3,40,100,2,1998900,1100,20
44,21,400,2650,39,0,0,60,0,1998880,1120,20
45,22,400,2700,41,1,0,50,2,1998840,1160,40
46,23,400,2740,41,1,0,40,0,1998810,1190,30
47,23,400,2780,45,0,0,40,4,1998790,1210,20
48,23,400,2820,45,0,0,40,0,1998770,1230,20
49,23,400,2870,45,0,0,50,0,1998750,1250,20
50,24,400,2930,45,1,0,60,0,1998730,1270,20
51,25,400,3020,51,1,0,90,6,1998700,1300,30
52,26,400,3150,51,1,0,130,0,1998670,1330,30
53,26,400,3220,51,0,0,70,0,1998650,1350,20
54,27,400,3270,51,1,0,50,0,1998630,1370,20
55,27,400,3310,51,0,0,40,0,1998610,1390,20
56,27,400,3400,51,0,0,90,0,1998570,1430,40
57,27,400,3450,53,0,0,50,2,1998540,1460,30
58,28,400,3480,55,1,0,30,2,1998520,1480,20
59,28,400,3540,55,0,0,60,0,1998480,1520,40
60,28,400,3600,55,0,0,60,0,1998460,1540,20
61,30,400,3670,55,2,0,70,0,1998440,1560,20
62,30,400,3700,55,0,0,30,0,1998420,1580,20
63,31,400,3780,57,1,0,80,2,1998390,1610,30
64,31,400,3830,57,0,0,50,0,1998360,1640,30
65,31,400,3860,61,0,0,30,4,1998330,1670,30
66,31,400,3940,61,0,0,80,0,1998310,1690,20
67,31,400,4080,61,0,0,140,0,1998290,1710,20
68,37,400,4250,61,6,0,170,0,1998250,1750,40
69,38,400,4320,65,1,0,70,4,1998200,1800,50
70,38,400,4360,65,0,0,40,0,1998180,1820,20
71,39,400,4420,65,1,0,60,0,1998150,1850,30
72,39,400,4440,69,0,0,20,4,1998130,1870,20
73,39,400,4480,75,0,0,40,6,1998100,1900,30
74,39,400,4530,75,0,0,50,0,1998090,1910,10

# 每分钟汇总 (minute=第几分钟; *_in_min=该分钟增量; boss_dmg_in_min=该分钟对Boss输出/格挡条下降量)
minute,kills_in_min,scarlet_in_min,damage_in_min,coin_in_min,boss_dmg_in_min,kills_cum,scarlet_cum,damage_cum,coin_cum,boss_dmg_cum
0,28,400,3540,55,1520,28,400,3540,55,1520
1,11,0,990,20,390,39,400,4530,75,1910

# 血契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,pact_id,pact_name,stacks_after

# 各血契生效段效率 (segment: 0=开局, 1=首血契生效后, 2=第2次血契生效后 …; 末段到导出时刻)
segment,pact_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,74,74,39,400,4480,31.6,324,3632

# 副契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,affix_id,affix_name,stacks_after

# 各副契生效段效率 (segment: 0=开局, 1=首副契生效后, 2=第2次副契生效后 …; 末段到导出时刻)
segment,affix_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,74,74,39,400,4480,31.6,324,3632

# 每阶段Boss战时间 (stage=第几场Boss战 1/2/3; start_sec/end_sec=游戏内起止秒; duration_sec=用时秒; result: defeated=阶段清空进入下一场 / final=最终击败通关 / aborted=异常中断 / ongoing=导出时仍在进行)
stage,start_sec,end_sec,duration_sec,result

# 武器切换记录 (switch=第几次; t_sec=游戏开始后秒; weapon_id=武器id; weapon_name=武器名)
switch,t_sec,weapon_id,weapon_name

# 各武器生效段效率 (segment: 0=开局武器, 1=第1次切换后, 2=第2次切换后 …; 末段到导出时刻; boss_dmg=对Boss输出(格挡条下降量))
segment,weapon_name,t_start,t_end,seconds,kills,damage,boss_dmg,kills_per_min,damage_per_min,boss_dmg_per_min
0,"扇形剑气",0,74,74,39,4480,1900,31.6,3632,1541

# 刷怪倍率调整记录 (adj=第几次; t_sec=游戏开始后秒; multiplier=调整后倍率, 1=默认)
adj,t_sec,multiplier
