# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量; boss_guard=该秒末Boss格挡条当前值; boss_dmg_*=对Boss输出,由格挡条下降量反推)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta,boss_guard,boss_dmg_cum,boss_dmg_delta
0,0,0,0,0,0,0,0,0,2000000,0,0
1,0,0,0,0,0,0,0,0,2000000,0,0
2,0,0,0,0,0,0,0,0,2000000,0,0
3,0,0,0,0,0,0,0,0,2000000,0,0
4,0,0,0,0,0,0,0,0,2000000,0,0
5,0,0,0,0,0,0,0,0,2000000,0,0
6,0,0,0,0,0,0,0,0,2000000,0,0
7,0,0,0,0,0,0,0,0,2000000,0,0
8,0,0,10,0,0,0,10,0,1999960,40,40
9,0,0,10,0,0,0,0,0,1999900,100,60
10,0,0,20,0,0,0,10,0,1999860,140,40
11,0,0,40,0,0,0,20,0,1999820,180,40
12,1,20,70,0,1,20,30,0,1999780,220,40
13,1,20,110,0,0,0,40,0,1999750,250,30
14,2,40,150,0,1,20,40,0,1999700,300,50
15,3,60,160,0,1,20,10,0,1999640,360,60
16,3,60,160,0,0,0,0,0,1999620,380,20
17,3,60,160,0,0,0,0,0,1999590,410,30
18,3,60,160,0,0,0,0,0,1999570,430,20
19,3,60,160,0,0,0,0,0,1999540,460,30
20,3,60,160,0,0,0,0,0,1999510,490,30
21,3,60,160,0,0,0,0,0,1999470,530,40
22,3,60,160,0,0,0,0,0,1999450,550,20
23,3,60,160,0,0,0,0,0,1999420,580,30
24,3,60,160,0,0,0,0,0,1999400,600,20
25,3,60,160,0,0,0,0,0,1999350,650,50
26,3,60,160,0,0,0,0,0,1999310,690,40
27,3,60,160,0,0,0,0,0,1999280,720,30
28,3,60,160,0,0,0,0,0,1999250,750,30
29,3,60,160,0,0,0,0,0,1999200,800,50
30,3,60,180,0,0,0,20,0,1999180,820,20
31,3,60,200,0,0,0,20,0,1999150,850,30
32,4,80,210,0,1,20,10,0,1999120,880,30
33,4,80,210,0,0,0,0,0,1999090,910,30
34,4,80,220,0,0,0,10,0,1999060,940,30
35,4,80,240,0,0,0,20,0,1999030,970,30
36,5,100,260,0,1,20,20,0,1999010,990,20
37,5,100,260,0,0,0,0,0,1998980,1020,30
38,5,100,260,0,0,0,0,0,1998950,1050,30
39,5,100,260,0,0,0,0,0,1998910,1090,40
40,5,100,280,0,0,0,20,0,1998890,1110,20
41,5,100,300,0,0,0,20,0,1998850,1150,40
42,6,120,310,0,1,20,10,0,1998820,1180,30
43,6,120,310,0,0,0,0,0,1998790,1210,30
44,6,120,310,0,0,0,0,0,1998760,1240,30
45,6,120,310,0,0,0,0,0,1998740,1260,20
46,6,120,330,0,0,0,20,0,1998700,1300,40
47,6,120,380,0,0,0,50,0,1998660,1340,40
48,7,140,430,0,1,20,50,0,1998620,1380,40
49,9,180,460,0,2,40,30,0,1998520,1480,100
50,9,180,480,0,0,0,20,0,1998460,1540,60
51,9,180,500,0,0,0,20,0,1998420,1580,40
52,10,200,510,0,1,20,10,0,1998380,1620,40
53,10,200,510,0,0,0,0,0,1998350,1650,30
54,10,200,530,0,0,0,20,0,1998330,1670,20
55,10,200,550,0,0,0,20,0,1998290,1710,40
56,11,220,560,0,1,20,10,0,1998270,1730,20
57,11,220,600,0,0,0,40,0,1998240,1760,30
58,11,220,640,0,0,0,40,0,1998210,1790,30
59,13,260,690,0,2,40,50,0,1998180,1820,30
60,13,260,700,0,0,0,10,0,1998120,1880,60
61,13,260,700,0,0,0,0,0,1998120,1880,0
62,13,260,700,0,0,0,0,0,1998090,1910,30
63,13,260,700,0,0,0,0,0,1998060,1940,30
64,13,260,700,0,0,0,0,0,1998060,1940,0
65,13,260,700,0,0,0,0,0,1998000,2000,60
66,13,260,700,0,0,0,0,0,1997970,2030,30
67,13,260,700,0,0,0,0,0,1997970,2030,0
68,13,260,700,0,0,0,0,0,1997940,2060,30
69,13,260,700,0,0,0,0,0,1997910,2090,30
70,13,260,700,0,0,0,0,0,1997910,2090,0
71,14,280,750,0,1,20,50,0,1997850,2150,60
72,14,280,750,0,0,0,0,0,1997820,2180,30
73,14,280,750,0,0,0,0,0,1997820,2180,0
74,14,280,780,0,0,0,30,0,1997790,2210,30
75,14,280,780,0,0,0,0,0,1997760,2240,30
76,14,280,810,0,0,0,30,0,1997760,2240,0
77,14,280,810,0,0,0,0,0,1997730,2270,30
78,14,280,810,0,0,0,0,0,1997700,2300,30
79,14,280,840,0,0,0,30,0,1997700,2300,0
80,14,280,840,0,0,0,0,0,1997670,2330,30
81,14,280,840,0,0,0,0,0,1997670,2330,0
82,14,280,870,0,0,0,30,0,1997640,2360,30
83,14,280,870,0,0,0,0,0,1997610,2390,30
84,14,280,870,0,0,0,0,0,1997610,2390,0
85,15,304,895,0,1,24,25,0,1997580,2420,30
86,15,304,895,0,0,0,0,0,1997550,2450,30
87,15,304,895,0,0,0,0,0,1997550,2450,0
88,15,304,895,0,0,0,0,0,1997520,2480,30
89,15,304,955,0,0,0,60,0,1997490,2510,30
90,15,304,955,0,0,0,0,0,1997490,2510,0
91,15,304,955,0,0,0,0,0,1997460,2540,30
92,15,304,985,0,0,0,30,0,1997430,2570,30
93,15,304,985,0,0,0,0,0,1997430,2570,0
94,16,328,1020,0,1,24,35,0,1997400,2600,30
95,16,328,1020,0,0,0,0,0,1997370,2630,30
96,16,328,1020,0,0,0,0,0,1997370,2630,0
97,16,328,1110,0,0,0,90,0,1997340,2660,30
98,17,348,1190,0,1,20,80,0,1997310,2690,30
99,17,348,1190,0,0,0,0,0,1997310,2690,0
100,17,348,1190,0,0,0,0,0,1997280,2720,30
101,17,348,1220,0,0,0,30,0,1997250,2750,30
102,17,348,1220,0,0,0,0,0,1997250,2750,0
103,17,348,1280,0,0,0,60,0,1997220,2780,30
104,18,368,1300,2,1,20,20,2,1997190,2810,30
105,18,368,1300,2,0,0,0,0,1997190,2810,0
106,18,368,1300,2,0,0,0,0,1997160,2840,30
107,19,388,1320,4,1,20,20,2,1997130,2870,30
108,19,388,1320,4,0,0,0,0,1997130,2870,0
109,19,388,1320,4,0,0,0,0,1997100,2900,30
110,19,388,1320,4,0,0,0,0,1997070,2930,30
111,19,388,1320,4,0,0,0,0,1997070,2930,0
112,19,388,1380,4,0,0,60,0,1997040,2960,30
113,21,400,1420,6,2,12,40,2,1997010,2990,30
114,21,400,1420,6,0,0,0,0,1997010,2990,0
115,21,400,1420,6,0,0,0,0,1996980,3020,30
116,21,400,1450,6,0,0,30,0,1996950,3050,30
117,21,400,1450,6,0,0,0,0,1996950,3050,0
118,22,400,1470,8,1,0,20,2,1996920,3080,30
119,22,400,1470,8,0,0,0,0,1996890,3110,30
120,22,400,1470,8,0,0,0,0,1996890,3110,0
121,22,400,1470,8,0,0,0,0,1996853,3148,38
122,22,400,1508,8,0,0,38,0,1996815,3185,38
123,23,400,1520,8,1,0,13,0,1996778,3223,38
124,24,400,1548,8,1,0,28,0,1996740,3260,38
125,25,400,1583,8,1,0,35,0,1996695,3305,45
126,27,400,1600,8,2,0,18,0,1996665,3335,30
127,27,400,1600,8,0,0,0,0,1996628,3373,38
128,27,400,1600,8,0,0,0,0,1996590,3410,38
129,27,400,1615,8,0,0,15,0,1996553,3448,38
130,27,400,1668,8,0,0,53,0,1996515,3485,38
131,28,400,1673,8,1,0,5,0,1996485,3515,30
132,29,400,1678,8,1,0,5,0,1996448,3553,38
133,29,400,1730,8,0,0,53,0,1996410,3590,38
134,31,400,1800,8,2,0,70,0,1996373,3628,38
135,33,400,1878,10,2,0,78,2,1996335,3665,38
136,35,400,1963,10,2,0,85,0,1996305,3695,30
137,37,400,1995,10,2,0,33,0,1996260,3740,45
138,39,400,2028,10,2,0,33,0,1996223,3778,38
139,39,400,2065,10,0,0,38,0,1996193,3808,30
140,39,400,2073,10,0,0,8,0,1996155,3845,38
141,41,400,2090,10,2,0,18,0,1996118,3883,38
142,42,400,2133,10,1,0,43,0,1996080,3920,38
143,42,400,2133,10,0,0,0,0,1996050,3950,30
144,43,400,2138,10,1,0,5,0,1996005,3995,45
145,44,400,2143,10,1,0,5,0,1995968,4033,38
146,44,400,2143,10,0,0,0,0,1995923,4078,45
147,44,400,2143,10,0,0,0,0,1995893,4108,30
148,44,400,2143,10,0,0,0,0,1995840,4160,53
149,44,400,2150,10,0,0,8,0,1995803,4198,38
150,44,400,2165,10,0,0,15,0,1995758,4243,45
151,45,400,2223,10,1,0,58,0,1995728,4273,30
152,47,400,2248,10,2,0,25,0,1995690,4310,38
153,47,400,2248,10,0,0,0,0,1995653,4348,38
154,47,400,2248,10,0,0,0,0,1995608,4393,45
155,47,400,2248,10,0,0,0,0,1995578,4423,30
156,47,400,2248,10,0,0,0,0,1995540,4460,38
157,47,400,2248,10,0,0,0,0,1995503,4498,38
158,47,400,2248,10,0,0,0,0,1995473,4528,30
159,47,400,2248,10,0,0,0,0,1995435,4565,38
160,48,400,2260,10,1,0,13,0,1995390,4610,45
161,49,400,2288,10,1,0,28,0,1995353,4648,38
162,49,400,2288,10,0,0,0,0,1995315,4685,38
163,49,400,2288,10,0,0,0,0,1995285,4715,30
164,50,400,2293,10,1,0,5,0,1995248,4753,38
165,51,400,2305,10,1,0,13,0,1995210,4790,38
166,51,400,2350,10,0,0,45,0,1995173,4828,38
167,53,400,2383,12,2,0,33,2,1995143,4858,30
168,53,400,2405,12,0,0,23,0,1995105,4895,38
169,54,400,2463,12,1,0,58,0,1995053,4948,53
170,56,400,2473,14,2,0,10,2,1995023,4978,30
171,56,400,2503,14,0,0,30,0,1994985,5015,38
172,57,400,2560,14,1,0,58,0,1994948,5053,38
173,58,400,2565,14,1,0,5,0,1994910,5090,38
174,59,400,2593,16,1,0,28,2,1994880,5120,30
175,59,400,2593,16,0,0,0,0,1994835,5165,45
176,59,400,2593,16,0,0,0,0,1994798,5203,38
177,59,400,2593,16,0,0,0,0,1994760,5240,38
178,59,400,2600,16,0,0,8,0,1994730,5270,30
179,59,400,2645,16,0,0,45,0,1994678,5323,53
180,61,400,2670,16,2,0,25,0,1994640,5360,38
181,61,400,2846,16,0,0,176,0,1994593,5408,48
182,62,400,3032,18,1,0,186,2,1994569,5432,24
183,63,400,3034,18,1,0,2,0,1994545,5456,24
184,64,400,3148,18,1,0,114,0,1994489,5512,56
185,67,400,3538,20,3,0,390,2,1994457,5544,32
186,67,400,3554,20,0,0,16,0,1994433,5568,24
187,74,400,3912,30,7,0,358,10,1994385,5616,48
188,81,400,4054,38,7,0,142,8,1994369,5632,16
189,81,400,4070,38,0,0,16,0,1994353,5648,16
190,85,400,4230,46,4,0,160,8,1994305,5696,48
191,88,400,4334,50,3,0,105,4,1994281,5720,24
192,90,400,4427,52,2,0,93,2,1994257,5744,24
193,90,400,4435,52,0,0,8,0,1994233,5768,24
194,91,400,4461,54,1,0,26,2,1994201,5800,32
195,91,400,4461,54,0,0,0,0,1994185,5816,16
196,92,400,4479,56,1,0,18,2,1994137,5864,48
197,92,400,4567,56,0,0,88,0,1994097,5904,40
198,92,400,4583,56,0,0,16,0,1994065,5936,32
199,92,400,4583,56,0,0,0,0,1994025,5976,40
200,92,400,4583,56,0,0,0,0,1994017,5984,8
201,92,400,4687,56,0,0,104,0,1993993,6008,24
202,92,400,4711,56,0,0,24,0,1993961,6040,32
203,96,400,4784,62,4,0,73,6,1993905,6096,56
204,97,400,4826,64,1,0,42,2,1993873,6128,32
205,97,400,4850,64,0,0,24,0,1993857,6144,16
206,97,400,4858,64,0,0,8,0,1993825,6176,32
207,97,400,4890,64,0,0,32,0,1993785,6216,40
208,98,400,4980,66,1,0,90,2,1993737,6264,48
209,98,400,4988,66,0,0,8,0,1993705,6296,32
210,98,400,5020,66,0,0,32,0,1993649,6352,56
211,98,400,5036,66,0,0,16,0,1993641,6360,8
212,98,400,5036,66,0,0,0,0,1993593,6408,48
213,98,400,5148,66,0,0,112,0,1993529,6472,64
214,98,400,5172,66,0,0,24,0,1993473,6528,56
215,98,400,5204,66,0,0,32,0,1993433,6568,40
216,100,400,5232,68,2,0,28,2,1993393,6608,40
217,102,400,5268,72,2,0,36,4,1993369,6632,24
218,102,400,5268,72,0,0,0,0,1993345,6656,24
