# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,60,0,0,0,60,0
7,0,0,60,0,0,0,0,0
8,0,0,120,0,0,0,60,0
9,0,0,180,0,0,0,60,0
10,0,0,180,0,0,0,0,0
11,2,40,340,0,2,40,160,0
12,2,40,460,0,0,0,120,0
13,2,40,460,0,0,0,0,0
14,3,60,540,0,1,20,80,0
15,6,120,720,0,3,60,180,0
16,6,120,720,0,0,0,0,0
17,7,140,920,0,1,20,200,0
18,11,220,1000,0,4,80,80,0
19,11,220,1000,0,0,0,0,0
20,20,400,1330,0,9,180,330,0
21,20,400,1360,0,0,0,30,0
22,21,400,1380,0,1,0,20,0
23,25,400,1550,0,4,0,170,0
24,25,400,1580,0,0,0,30,0
25,26,400,1690,0,1,0,110,0
26,26,400,1960,0,0,0,270,0
27,26,400,1990,0,0,0,30,0
28,34,400,2270,0,8,0,280,0
29,34,400,2390,0,0,0,120,0
30,35,400,2440,0,1,0,50,0
31,39,400,2730,0,4,0,290,0
32,43,400,2900,0,4,0,170,0
33,44,400,2920,0,1,0,20,0
34,47,400,3285,0,3,0,365,0
35,48,400,3395,0,1,0,110,0
36,48,400,3510,0,0,0,115,0
37,48,400,3610,0,0,0,100,0
38,50,400,3710,0,2,0,100,0
39,52,400,3880,0,2,0,170,0
40,53,400,4030,0,1,0,150,0
41,53,400,4140,0,0,0,110,0
42,53,400,4305,0,0,0,165,0
43,53,400,4425,0,0,0,120,0
44,53,400,4540,0,0,0,115,0
45,53,400,4680,0,0,0,140,0
46,53,400,4780,0,0,0,100,0
47,53,400,4880,0,0,0,100,0
48,53,400,5030,0,0,0,150,0
49,53,400,5120,0,0,0,90,0
50,55,400,5250,0,2,0,130,0
51,60,400,5445,0,5,0,195,0
52,61,400,5580,0,1,0,135,0
53,63,400,5700,0,2,0,120,0
54,64,400,5810,6,1,0,110,6
55,65,400,5925,8,1,0,115,2
56,65,400,5981,8,0,0,56,0
57,66,400,6220,8,1,0,239,0
58,68,400,6505,8,2,0,285,0
59,69,400,6615,8,1,0,110,0
60,69,400,6666,8,0,0,51,0
61,70,400,6807,8,1,0,141,0
62,73,400,6997,8,3,0,190,0
63,76,400,7113,16,3,0,116,8
64,76,400,7233,28,0,0,120,12
65,76,400,7257,28,0,0,24,0
66,78,400,7397,28,2,0,140,0
67,79,400,7541,28,1,0,144,0
68,81,400,7801,28,2,0,260,0
69,82,400,7838,28,1,0,37,0
