# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,60,0,0,0,60,0
10,0,0,110,0,0,0,50,0
11,0,0,200,0,0,0,90,0
12,0,0,250,0,0,0,50,0
13,0,0,300,0,0,0,50,0
14,0,0,380,0,0,0,80,0
15,2,40,590,0,2,40,210,0
16,6,120,820,0,4,80,230,0
17,8,160,1040,0,2,40,220,0
18,10,200,1230,0,2,40,190,0
19,10,200,1470,0,0,0,240,0
20,10,200,1610,0,0,0,140,0
21,11,220,1830,0,1,20,220,0
22,14,280,2200,0,3,60,370,0
23,19,380,2600,0,5,100,400,0
24,20,400,2940,0,1,20,340,0
25,22,400,3320,0,2,0,380,0
26,30,400,3730,0,8,0,410,0
27,36,400,4080,2,6,0,350,2
28,37,400,4280,2,1,0,200,0
29,39,400,4660,4,2,0,380,2
30,55,400,5435,10,16,0,775,6
31,101,400,6855,58,46,0,1420,48
32,130,400,7715,112,29,0,860,54
33,148,400,8285,116,18,0,570,4
34,155,400,8665,118,7,0,380,2
35,160,400,8935,118,5,0,270,0
36,166,400,9225,120,6,0,290,2
37,189,400,9795,174,23,0,570,54
38,193,400,10135,174,4,0,340,0
39,202,400,10625,174,9,0,490,0
40,202,400,10785,174,0,0,160,0
41,204,400,11175,176,2,0,390,2
42,215,400,11835,178,11,0,660,2
43,228,400,12245,188,13,0,410,10
44,243,400,12795,294,15,0,550,106
45,247,400,13085,298,4,0,290,4
46,256,400,13515,306,9,0,430,8
47,258,400,13820,306,2,0,305,0
48,258,400,14050,306,0,0,230,0
49,259,400,14340,306,1,0,290,0
50,264,400,14600,306,5,0,260,0
51,266,400,14760,306,2,0,160,0
52,271,400,14970,306,5,0,210,0
53,272,400,15200,306,1,0,230,0
54,273,400,15560,308,1,0,360,2
55,278,400,15815,336,5,0,255,28
56,289,400,16180,392,11,0,365,56
57,292,400,16600,402,3,0,420,10
58,301,400,17160,404,9,0,560,2
59,309,400,17520,406,8,0,360,2
60,329,400,18355,414,20,0,835,8
61,339,400,19010,416,10,0,655,2
62,340,400,19170,416,1,0,160,0
63,347,400,19490,416,7,0,320,0
64,361,400,20000,416,14,0,510,0
65,369,400,20230,416,8,0,230,0
66,371,400,20420,416,2,0,190,0
67,375,400,20620,416,4,0,200,0
68,375,400,20720,416,0,0,100,0
69,382,400,21130,416,7,0,410,0
