# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,6,0,0,0,6
5,0,0,0,15,0,0,0,9
6,0,0,0,17,0,0,0,2
7,0,0,0,21,0,0,0,4
8,0,0,0,23,0,0,0,2
9,0,0,0,23,0,0,0,0
10,0,0,0,23,0,0,0,0
11,0,0,0,23,0,0,0,0
12,0,0,0,23,0,0,0,0
13,0,0,0,23,0,0,0,0
14,0,0,20,23,0,0,20,0
15,0,0,30,23,0,0,10,0
16,1,24,35,25,1,24,5,2
17,1,24,45,25,0,0,10,0
18,1,24,65,25,0,0,20,0
19,1,24,85,25,0,0,20,0
20,1,24,95,25,0,0,10,0
21,1,24,115,25,0,0,20,0
22,1,24,155,25,0,0,40,0
23,1,24,175,25,0,0,20,0
24,1,24,185,25,0,0,10,0
25,3,64,235,27,2,40,50,2
26,3,64,235,27,0,0,0,0
27,3,64,255,27,0,0,20,0
28,3,64,275,27,0,0,20,0
29,3,64,295,27,0,0,20,0
30,4,84,325,29,1,20,30,2
31,4,84,325,29,0,0,0,0
32,6,124,375,31,2,40,50,2
33,9,184,455,31,3,60,80,0
34,9,184,475,31,0,0,20,0
35,9,184,485,31,0,0,10,0
36,9,184,525,31,0,0,40,0
37,9,184,525,31,0,0,0,0
38,9,184,525,31,0,0,0,0
39,12,244,625,33,3,60,100,2
40,12,244,685,33,0,0,60,0
41,12,244,685,33,0,0,0,0
42,12,244,685,33,0,0,0,0
43,12,244,685,33,0,0,0,0
44,13,264,755,37,1,20,70,4
45,15,304,795,39,2,40,40,2
46,15,304,795,39,0,0,0,0
47,15,304,825,41,0,0,30,2
48,15,304,825,41,0,0,0,0
49,15,304,855,41,0,0,30,0
50,15,304,885,41,0,0,30,0
51,15,304,915,41,0,0,30,0
52,15,304,915,41,0,0,0,0
53,16,324,965,43,1,20,50,2
54,16,324,965,43,0,0,0,0
55,16,324,965,43,0,0,0,0
56,16,324,965,43,0,0,0,0
57,16,324,965,43,0,0,0,0
58,16,324,965,43,0,0,0,0
59,16,324,965,43,0,0,0,0
60,16,324,965,43,0,0,0,0
61,16,324,965,43,0,0,0,0
62,16,324,1085,43,0,0,120,0
63,17,344,1118,43,1,20,33,0
64,17,344,1118,43,0,0,0,0
65,19,388,1134,47,2,44,16,4
66,19,388,1134,47,0,0,0,0
67,20,408,1196,49,1,20,63,2
68,20,408,1226,49,0,0,30,0
69,20,408,1226,49,0,0,0,0
70,20,408,1226,49,0,0,0,0
71,20,408,1226,49,0,0,0,0
