# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,10,0,0,0,10,0
11,0,0,30,0,0,0,20,0
12,0,0,40,0,0,0,10,0
13,1,20,50,2,1,20,10,2
14,1,20,50,2,0,0,0,0
15,1,20,50,2,0,0,0,0
16,1,20,50,2,0,0,0,0
17,1,20,60,2,0,0,10,0
18,1,20,80,2,0,0,20,0
19,2,40,100,4,1,20,20,2
20,2,40,100,4,0,0,0,0
21,2,40,110,4,0,0,10,0
22,2,40,130,4,0,0,20,0
23,2,40,130,4,0,0,0,0
24,2,40,150,4,0,0,20,0
25,2,40,170,4,0,0,20,0
26,2,40,210,4,0,0,40,0
27,2,40,250,4,0,0,40,0
28,4,80,310,4,2,40,60,0
29,5,100,330,4,1,20,20,0
30,6,120,380,4,1,20,50,0
31,6,120,380,4,0,0,0,0
32,6,120,420,4,0,0,40,0
33,6,120,440,4,0,0,20,0
34,7,140,470,4,1,20,30,0
35,7,140,530,4,0,0,60,0
36,8,160,550,4,1,20,20,0
37,8,160,560,8,0,0,10,4
38,8,160,590,10,0,0,30,2
39,9,180,600,10,1,20,10,0
40,9,180,600,10,0,0,0,0
41,11,220,650,10,2,40,50,0
42,11,220,670,10,0,0,20,0
43,12,240,700,14,1,20,30,4
44,13,260,750,16,1,20,50,2
45,13,260,750,16,0,0,0,0
46,13,260,750,16,0,0,0,0
47,13,260,750,16,0,0,0,0
48,13,260,772,16,0,0,22,0
49,13,260,787,16,0,0,15,0
50,13,260,793,20,0,0,6,4
51,14,280,842,20,1,20,49,0
52,16,320,878,20,2,40,36,0
53,16,320,928,20,0,0,50,0
54,17,340,953,20,1,20,25,0
55,18,360,1005,24,1,20,52,4
56,19,380,1027,26,1,20,22,2
57,20,400,1047,40,1,20,20,14
58,20,400,1064,40,0,0,17,0
59,20,400,1081,40,0,0,17,0
60,21,420,1122,40,1,20,42,0
61,21,420,1128,40,0,0,6,0
62,21,420,1158,40,0,0,30,0
63,22,440,1161,40,1,20,3,0
64,22,440,1187,40,0,0,26,0
65,22,440,1206,40,0,0,19,0
66,22,440,1238,40,0,0,32,0
67,22,440,1261,40,0,0,23,0
68,22,440,1286,40,0,0,25,0
69,23,460,1308,40,1,20,23,0
70,24,480,1318,44,1,20,10,4
71,24,480,1333,44,0,0,15,0
